,0
0,-0.52364206
1,-1.2714353
2,-1.1836956
3,-0.24786839
4,0.26472732
5,-0.9201275
6,0.2893119
7,0.7486289
8,1.1905411
9,1.1908238
10,-1.65999
11,-1.4386874
12,-0.47122595
13,0.43250182
14,-1.2105155
15,-0.31273493
16,0.27806818
17,0.89136714
18,0.8595111
19,-0.029493554
20,-0.93746567
21,0.5469096
22,1.0386316
23,0.6582354
24,0.8324161
25,-0.42521143
26,-1.0927283
27,0.89588505
28,-0.2667566
29,0.12660314
30,-1.0434252
31,-0.92063177
32,0.80072755
33,-1.5298946
34,-1.2312249
35,0.32166365
36,-0.040271834
37,-0.92289007
38,-0.61898655
39,-0.08338296
40,-0.5704903
41,-0.92032695
42,-0.35365593
43,0.3048326
44,-0.49688554
45,1.7763864
46,-0.47534785
47,1.0120335
48,-0.09334684
49,-1.1444058
50,-0.80050117
51,-1.2385404
52,0.08976608
53,1.447905
54,0.6914579
55,0.1734957
56,-0.5491556
57,1.6533866
58,-3.4973862
59,-0.12632032
60,-0.06851481
61,-1.183032
62,0.15642811
63,-0.71170264
64,-0.38098565
65,-0.5662431
66,1.0442015
67,-0.4843102
68,-0.017474186
69,-0.94339216
70,0.18298738
71,0.21692547
72,1.5137788
73,-2.184546
74,0.90200955
75,-0.30053607
76,-0.15599668
77,-0.81553996
78,0.18878736
79,-0.3439575
80,-0.64783806
81,-1.0742911
82,-2.0563667
83,-2.029887
84,0.5861256
85,-1.1873225
86,0.49245432
87,0.44633844
88,-0.24121533
89,-0.58870876
90,-0.66266745
91,-0.35475448
92,0.49949592
93,0.30551666
94,-1.1120623
95,0.24764922
96,0.23847413
97,0.31598946
98,-0.91801405
99,1.4283737
100,0.31246573
101,-0.99883455
102,0.36981946
103,0.9016458
104,0.6006245
105,-1.4404659
106,-0.48333642
107,-0.273289
108,-0.23546024
109,0.37068436
110,-0.4996336
111,0.76601595
112,-0.29042384
113,-0.75038505
114,0.39313903
115,0.060555503
116,-0.7544459
117,0.4512768
118,-0.4127692
119,0.69913125
120,1.7419875
121,0.4364286
122,-1.2088155
123,1.1594185
124,-1.5611814
125,0.17498298
126,-2.186757
127,-0.6642881
128,0.14086203
129,-0.39867225
130,-0.31055394
131,-1.003494
132,0.067827
133,0.4592565
134,-1.0344476
135,0.40188295
136,0.48031443
137,-1.040094
138,0.4910956
139,-0.60621995
140,-0.8238311
141,-1.0117303
142,-0.03642503
143,1.0427312
144,-0.188559
145,0.23074105
146,-0.58467007
147,0.4152208
148,1.0141314
149,0.07392719
150,-0.4488938
151,-0.6979144
152,0.28784445
153,-0.37351114
154,0.8724431
155,1.8994951
156,0.68325824
157,1.02018
158,0.31504294
159,-0.45261112
160,0.6575842
161,-0.50138247
162,1.1822023
163,-0.3774791
164,-0.8276405
165,-1.0802505
166,-1.1908122
167,-0.6294544
168,-0.39759436
169,0.572219
170,-0.4260447
171,-0.16990586
172,1.3220673
173,1.0816275
174,-0.3828904
175,0.7769385
176,-0.24219106
177,-1.4081323
178,1.4862343
179,-0.12443838
180,-0.83760583
181,-0.94320625
182,0.31458977
183,-1.6850249
184,0.98504806
185,2.4519753
186,0.51961637
187,0.12868915
188,0.2049993
189,0.13749295
190,-0.4247995
191,-1.1775621
192,0.14894304
193,0.033626944
194,1.3371944
195,-1.160873
196,-0.9426998
197,0.6506941
198,-1.0733237
199,-1.7089256
